slug,min_precip,max_precip
cissus-repanda,800,1400
citrus-taitensis,1500,2600
cladium-mariscus-subsp-jamaicense,800,1600
clarkia-gracilis,300,700
clarkia-gracilis-subsp-albicaulis,300,700
clarkia-gracilis-subsp-sonomensis,300,700
clarkia-gracilis-subsp-tracyi,300,700
claytonia-parviflora-subsp-viridis,300,1000
claytonia-perfoliata,300,1000
claytonia-perfoliata-subsp-intermontana,300,1000
claytonia-perfoliata-subsp-mexicana,300,1000
claytosmunda-claytoniana-subsp-claytoniana,800,1400
clematis-ligusticifolia,300,600
clematis-ligusticifolia-var-californica,300,600
clematis-virginiana,800,1400
cleomella-lutea,200,500
cleomella-serrulata,300,1400
clermontia-arborescens,300,700
clermontia-arborescens-subsp-waihiae,300,700
clermontia-arborescens-subsp-waikoluensis,300,700
clethra-alnifolia,800,1600
coccoloba-uvifera,500,1600
cocos-nucifera,500,2100
coffea-arabica,1500,2600
coleataenia-rigidula,800,1700
coleogyne-ramosissima,100,500
collinsia-parviflora,400,1300
colutea-arborescens,600,1200
colutea-arborescens-subsp-gallica,600,1200
commelina-diffusa-var-gigas,800,1600
commelina-virginica,800,1600
conoclinium-coelestinum,600,1600
convallaria-majalis,800,1700
coprosma-ochracea,200,500
cordylanthus-eremicus,200,600
cordylanthus-ramosus,200,600
coreopsis-tinctoria,500,1400
coreopsis-tinctoria-var-imminuta,500,1400
cornus-amomum,900,1600
cornus-asperifolia,900,1600
cornus-drummondii,800,1400
cornus-foemina,900,1600
cornus-mas,700,1300
cornus-nuttallii,300,2600
cornus-obliqua,900,1600
cornus-racemosa,600,1600
cornus-rugosa,400,1200
cornus-sericea,400,1600
cornus-torreyi,600,1600
corydalis-caseana,300,2100
corydalis-caseana-ssp-aquae-gelidae,300,2100
corydalis-caseana-subsp-brachycarpa,300,2100
corydalis-caseana-subsp-brandegeei,300,2100
corydalis-caseana-subsp-cusickii,300,2100
corydalis-caseana-subsp-hastata,300,2100
corydalis-flavula,800,1400
corylus-cornuta-subsp-californica,500,2100
corylus-cornuta-subsp-cornuta,500,2100
cotoneaster-floccosus,700,1300
cotoneaster-horizontalis,800,1600
cotoneaster-integerrimus,300,800
cotoneaster-salicifolius,700,1300
crataegus-aestivalis,800,1600
crataegus-crus-galli,600,1600
crataegus-erythropoda,400,900
crataegus-macracantha,400,6700
crataegus-marshallii,800,1600
crataegus-monogyna,600,1600
crataegus-ovata,900,1600
crepis-acuminata,200,600
crepis-modocensis,200,600
crepis-modocensis-subsp-glareosa,200,600
crepis-modocensis-subsp-rostrata,200,600
crepis-modocensis-subsp-subacaulis,200,600
crepis-occidentalis,300,600
crepis-occidentalis-subsp-conjuncta,300,600
crepis-occidentalis-subsp-costata,300,600
crepis-occidentalis-subsp-pumila,300,600
crepis-occidentalis-var-nevadensis,300,600
crepis-runcinata,400,900
crepis-runcinata-subsp-andersonii,400,900
crepis-runcinata-subsp-barberi,400,900
crepis-runcinata-subsp-glauca,400,900
crepis-runcinata-subsp-hallii,400,900
crepis-runcinata-subsp-hispidulosa,400,900
crepis-runcinata-subsp-imbricata,400,900
crescentia-linearifolia,500,1100
crescentia-portoricensis,1500,5100
cressa-truxillensis,200,400
croptilon-divaricatum,400,1300
crotalaria-juncea,500,4300
crotalaria-spectabilis,800,2900
croton-glandulosus-var-arenicola,300,1400
croton-glandulosus-var-floridanus,300,1400
croton-glandulosus-var-glandulosus,300,1400
croton-glandulosus-var-lindheimeri,300,1400
croton-glandulosus-var-pubentissimus,300,1400
croton-glandulosus-var-septentrionalis,300,1400
cruciata-taurica-subsp-glaberrima,300,1400
cucurbita-foetidissima,100,1100
cupania-americana,1000,4100
cupressus-arizonica-var-arizonica,400,800
cyathea-arborea,1000,4100
cycnium-tubulosum,600,1600
cynodon-dactylon,800,2600
cyperus-acuminatus,600,1400
cyperus-bipartitus,700,1300
cyperus-erythrorhizos,300,1300
cyperus-esculentus,300,1400
cyperus-esculentus-var-hermannii,300,1400
cyperus-flavescens,600,1400
cyperus-haspan,800,1600
cyperus-lancastriensis,800,1400
cyperus-polystachyos,800,1400
cyperus-pseudovegetus,700,1400
cyperus-strigosus,400,1600
