distribution_slug,name,tdwg_code,level,parent_slug,parent_name,lat,lng,species_count
aut-li,Liechtenstein,AUT-LI,4,aut,Austria,47,9,0
lin,Line Is.,LIN,3,61,South-Central Pacific,57,-135,101
blt-li,Lithuania,BLT-LI,4,blt,Baltic States,55,23,0
nfk-lh,Lord Howe I.,NFK-LH,4,nfk,Norfolk Is.,-31,159,0
cls-ll,Los Lagos,CLS-LL,4,cls,Chile South,-42,-73,0
lou,Louisiana,LOU,3,78,Southeastern U.S.A.,30,-92,2709
bgm-lu,Luxembourg,BGM-LU,4,bgm,Belgium,49,6,0
chs-ma,Macau,CHS-MA,4,chs,China Southeast,22,113,0
yug-ma,Macedonia,YUG-MA,4,yug,Yugoslavia,41,21,0
maq,Macquarie Is.,MAQ,3,90,Subantarctic Islands,-54,158,53
mdg,Madagascar,MDG,3,29,Western Indian Ocean,-18,46,10979
mdr,Madeira,MDR,3,21,Macaronesia,32,-16,1300
ind-mp,Madhya Pradesh,IND-MP,4,ind,India,23,77,0
mag,Magadan,MAG,3,31,Russian Far East,59,150,1253
cls-mg,Magellanes,CLS-MG,4,cls,Chile South,39,3,0
ind-mr,Maharashtra,IND-MR,4,ind,India,18,75,0
ind-mh,Mahe,IND-MH,4,ind,India,11,75,0
mai,Maine,MAI,3,75,Northeastern U.S.A.,45,-68,2007
mlw,Malawi,MLW,3,26,South Tropical Africa,-13,33,4852
mly,Malaya,MLY,3,42,Malesia,14,121,8981
mdv,Maldives,MDV,3,40,Indian Subcontinent,4,73,247
mli,Mali,MLI,3,22,West Tropical Africa,16,-2,1921
cpi-ma,Malpelo I.,CPI-MA,4,cpi,Central American Pac,4,-81,0
sic-ma,Malta,SIC-MA,4,sic,Sicilia,35,14,0
mol,Maluku,MOL,3,42,Malesia,-3,126,3002
chm,Manchuria,CHM,3,36,China,-9,-76,2523
tok-ma,Manihiki Is.,TOK-MA,4,tok,Tokelau-Manihiki,-10,-160,0
ass-ma,Manipur,ASS-MA,4,ass,Assam,24,93,0
man,Manitoba,MAN,3,71,Western Canada,55,-97,1474
bze-ma,Maranhao,BZE-MA,4,bze,Brazil Northeast,-5,-45,0
mcs,Marcus I.,MCS,3,62,Northwestern Pacific,48,-118,14
mrn,Marianas,MRN,3,62,Northwestern Pacific,39,-4,609
mpe,Marion-Prince Edward,MPE,3,90,Subantarctic Islands,46,-63,38
mrq,Marquesas,MRQ,3,61,South-Central Pacific,-9,-138,454
mrs,Marshall Is.,MRS,3,62,Northwestern Pacific,57,-135,157
win-ma,Martinique,WIN-MA,4,win,Windward Is.,14,-61,0
mry,Maryland,MRY,3,78,Southeastern U.S.A.,39,-76,2378
mas,Masachusettes,MAS,3,75,Northeastern U.S.A.,0,0,2448
bzc-mt,Mato Grosso,BZC-MT,4,bzc,Brazil West-Central,-12,-55,0
bzc-ms,Mato Grosso do Sul,BZC-MS,4,bzc,Brazil West-Central,-19,-54,0
chs-mp,Ma-tsu-Pai-chuan,CHS-MP,4,chs,China Southeast,26,106,0
clc-ma,Maule,CLC-MA,4,clc,Chile Central,-35,-71,0
mtn,Mauritania,MTN,3,22,West Tropical Africa,20,-9,1081
mau,Mauritius,MAU,3,29,Western Indian Ocean,-20,57,1716
com-ma,Mayotte,COM-MA,4,com,Comoros,-12,45,0
ass-me,Meghalaya,ASS-ME,4,ass,Assam,25,91,0
agw-me,Mendoza,AGW-ME,4,agw,Argentina Northwest,-34,-68,0
mxi,Mexican Pacific Is.,MXI,3,79,Mexico,33,-118,351
mxc,Mexico Central,MXC,3,79,Mexico,19,-104,7332
mxc-df,Mexico Distrito Federal,MXC-DF,4,mxc,Mexico Central,19,-99,0
mxg,Mexico Gulf,MXG,3,79,Mexico,25,-100,7641
mxe,Mexico Northeast,MXE,3,79,Mexico,20,-103,11713
mxn,Mexico Northwest,MXN,3,79,Mexico,43,-76,7215
mxt,Mexico Southeast,MXT,3,79,Mexico,-2,-80,8973
mxs,Mexico Southwest,MXS,3,79,Mexico,22,-100,14008
mxc-me,Mexico State,MXC-ME,4,mxc,Mexico Central,22,-100,0
mic,Michigan,MIC,3,75,Northeastern U.S.A.,43,-84,2388
mxs-mi,Michoacan,MXS-MI,4,mxs,Mexico Southwest,19,-101,0
crl-mf,Micronesia Federated States,CRL-MF,4,crl,Caroline Is.,8,152,0
haw-mi,Midway Is.,HAW-MI,4,haw,Hawaii,44,-69,0
bzl-mg,Minas Gerais,BZL-MG,4,bzl,Brazil Southeast,-18,-44,0
min,Minnesota,MIN,3,74,North-Central U.S.A.,45,-94,1952
age-mi,Misiones,AGE-MI,4,age,Argentina Northeast,-26,-54,0
msi,Mississippi,MSI,3,78,Southeastern U.S.A.,32,-89,2487
mso,Missouri,MSO,3,74,North-Central U.S.A.,38,-92,2448
ass-mi,Mizoram,ASS-MI,4,ass,Assam,23,92,0
ukr-mo,Moldova,UKR-MO,4,ukr,Ukraine,47,28,0
fra-mo,Monaco,FRA-MO,4,fra,France,43,7,0
mon,Mongolia,MON,3,37,Mongolia,46,103,2761
mnt,Montana,MNT,3,73,Northwestern U.S.A.,47,-109,2484
yug-mn,Montenegro,YUG-MN,4,yug,Yugoslavia,42,19,0
